C,Penalty,Solver,Max iterations,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
100,l1,liblinear,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,liblinear,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l1,saga,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,liblinear,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,100,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,200,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
100,l2,lbfgs,500,0.484312606959498,0.3428246013667426,0.47929936305732485,548,577,327,301
