Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
entropy,20,2,2,balanced,0.8360655737704918,0.8108108108108109,0.9090909090909091,21,7,3,30
entropy,20,2,4,,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
entropy,20,2,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
entropy,20,5,1,,0.7213114754098361,0.7352941176470589,0.7575757575757576,19,9,8,25
entropy,20,5,1,balanced,0.7704918032786885,0.7567567567567568,0.8484848484848485,19,9,5,28
entropy,20,5,2,,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
entropy,20,5,2,balanced,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
entropy,20,5,4,,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
entropy,20,5,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
entropy,20,10,1,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
entropy,20,10,1,balanced,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
entropy,20,10,2,,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
entropy,20,10,2,balanced,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
entropy,20,10,4,,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
entropy,20,10,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
